id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric|uplifting|bright
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,nostalgic|calm|focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|powerful|driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2020,calm|nostalgic|dreamy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,aggressive|euphoric|driving
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,55,2010,dreamy|peaceful|vast
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,60,2010,nostalgic|warm|calm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2020,nostalgic|dark|cinematic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,66,2020,calm|focused|minimal
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,uplifting|warm|bright
11,Concrete Pulse,Block Theory,hip-hop,confident,0.85,95,0.72,0.91,0.08,77,2010,aggressive|powerful|driving
12,Velvet Hours,Sana Reyes,r&b,romantic,0.55,88,0.78,0.69,0.42,71,2020,warm|sensual|dreamy
13,Porch and Pine,Dusty Hollow,folk,nostalgic,0.31,67,0.66,0.44,0.94,58,2000,nostalgic|warm|peaceful
14,Glass Cathedrals,Auris Ensemble,classical,peaceful,0.18,52,0.74,0.22,0.98,52,2010,peaceful|vast|calm
15,Breakdown Season,Iron Shelf,metal,angry,0.97,168,0.22,0.51,0.03,63,2010,aggressive|dark|powerful
16,Island Easy,Coral Drift,reggae,relaxed,0.58,82,0.88,0.76,0.55,67,2000,uplifting|warm|peaceful
17,3AM Letters,Maren Voss,soul,sad,0.44,74,0.38,0.48,0.76,69,2020,dark|nostalgic|melancholic
18,Warehouse Lights,Drft Club,electronic,energetic,0.89,128,0.61,0.94,0.04,75,2020,driving|euphoric|powerful
19,Golden Static,Pale Terrain,country,nostalgic,0.47,96,0.75,0.57,0.83,56,2000,nostalgic|warm|calm
20,Spiral Garden,Echo Fern,psychedelic,dreamy,0.63,103,0.55,0.65,0.38,61,2010,dreamy|vast|euphoric
